"any","zona","dat","via","pk","nommun","nomcom","nomdem","f_morts","f_ferits_greus","f_ferits_lleus","f_victimes","f_unitats_implicades","f_vianants_implicades","f_bicicletes_implicades","f_ciclomotors_implicades","f_motocicletes_implicades","f_veh_lleugers_implicades","f_veh_pesants_implicades","f_altres_unit_implicades","f_unit_desc_implicades","c_velocitat_via","d_acc_amb_fuga","d_boira","d_caract_entorn","d_carril_especial","d_circulacio_mesures_esp","d_climatologia","d_func_esp_via","d_gravetat","d_influit_boira","d_influit_caract_entorn","d_influit_circulacio","d_influit_estat_clima","d_influit_inten_vent","d_influit_lluminositat","d_influit_mesu_esp","d_influit_obj_calcada","d_influit_solcs_rases","d_influit_visibilitat","d_inter_seccio","d_limit_velocitat","d_lluminositat","d_regulacio_prioritat","d_sentits_via","d_subtipus_accident","d_subtipus_tram","d_subzona","d_superficie","d_tipus_via","d_titularitat_via","d_tracat_altimetric","d_vent","grupdialab","hor","gruphor","tipacc","tipdia"
"2010","Carretera","2010-02-15T14:30:00.000","C-31","2135","BADALONA","Barcelones","Barcelona","0","3","1","4","2","0","0","0","0","2","0","0","0","80","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Ronda, cinturo o circumval.lacio","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Envestida (frontal lateral)","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners","143","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-02-02T22:13:00.000","SE","999999","TARRAGONA","Tarragones","Tarragona","0","1","0","1","2","0","0","0","1","1","0","0","0","NA","Sense Especificar","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Senyal Stop o cedeix pas","Un sol sentit","Fregament o col·lisió lateral","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","2213","Nit","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-08-27T13:20:00.000","SE","999999","TARRAGONA","Tarragones","Tarragona","0","1","1","2","2","0","0","0","1","1","0","0","0","NA","Sense Especificar","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Envestida (frontal lateral)","Enllaç d'entrada o eixida","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","132","Matí","Col.lisió de vehicles en marxa","div"
"2010","Carretera","2010-09-08T08:30:00.000","SE","999999","TERRASSA","Valles Occidental","Barcelona","0","1","0","1","2","0","0","0","2","0","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Envestida (frontal lateral)","NA","Carretera","Sec i net","Altres","NA","NA","Calma, vent molt suau","Feiners","83","Matí","Col.lisió de vehicles en marxa","dill-dij"
"2010","Carretera","2010-06-16T18:10:00.000","SE","999999","VILADECAVALLS","Valles Occidental","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Col·lisió frontal","NA","Carretera","Sec i net","Altres","Municipal","Pla","Calma, vent molt suau","Feiners","181","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2010","Carretera","2010-10-31T16:00:00.000","LV-4241b","187","ODEN","Solsones","Lleida","0","1","1","2","1","0","0","0","1","0","0","0","0","100","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Gual","Calma, vent molt suau","CapDeSetmana","16","Tarda","Sortida de la calcada sense especificar","dg"
"2010","Carretera","2010-01-08T12:07:00.000","C-55","188","CASTELLBELL I EL VIL","Bages","Barcelona","1","2","1","4","3","0","0","0","0","2","1","0","0","60","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia fosc","NA","Doble sentit","Envestida (frontal lateral)","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Rampa o pendent","Vent moderat","Feiners","1207","Matí","Col.lisió de vehicles en marxa","div"
"2010","Zona urbana","2010-07-23T13:35:00.000","SE","999999","VIC","Osona","Barcelona","0","1","2","3","3","0","0","1","0","2","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","1335","Matí","Col.lisió de vehicles en marxa","div"
"2010","Zona urbana","2010-04-17T18:30:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","1","0","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols marques viàries (inclou pas vianants)","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","183","Tarda","Col.lisió de vehicles en marxa","dis"
"2010","Carretera","2010-05-23T10:38:00.000","N-340","11265","VANDELLOS I L'HOSPITALET DE L'INFANT","Baix Camp","Tarragona","0","1","1","2","2","0","0","0","1","1","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Envestida (frontal lateral)","NA","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","CapDeSetmana","1038","Matí","Col.lisió de vehicles en marxa","dg"
